ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl_pct,pnl_dollar,holding_days,exit_reason
JKHY,2023-05-01,156.73,2023-05-03,151.77,65140,-3.16,-322927.85,2,下穿68
FICO,2023-05-03,752.39,2023-05-05,731.98,13139,-2.71,-268167.44,2,下穿68
PNR,2023-05-05,56.11,2023-05-22,57.38,171411,2.26,217724.09,17,下穿68
VRT,2023-05-22,16.45,2023-07-21,25.59,597784,55.54,5463002.0,60,下穿68
APA,2023-07-21,34.94,2023-08-22,38.53,437814,10.27,1571847.52,32,下穿68
TKO,2023-08-22,109.08,2023-08-24,107.77,154668,-1.2,-202200.51,2,下穿68
TPL,2023-08-24,203.26,2023-08-31,203.33,82006,0.04,6256.56,7,下穿68
CIEN,2023-08-31,49.98,2023-09-19,47.97,333627,-4.02,-670589.71,19,下穿68
CNC,2023-09-21,69.54,2023-09-28,69.26,230142,-0.4,-64439.48,7,下穿68
JBL,2023-10-02,128.19,2023-10-19,129.65,124345,1.14,181817.75,17,下穿68
APA,2023-10-19,39.16,2023-10-23,37.47,411705,-4.32,-696537.88,4,下穿68
NRG,2023-10-24,40.07,2023-11-21,43.44,384950,8.41,1297222.35,28,下穿68
CRL,2023-11-21,192.25,2024-01-03,224.02,86981,16.53,2763386.74,43,下穿68
ES,2024-01-03,57.91,2024-01-04,56.65,336466,-2.18,-424322.67,1,下穿68
NG=F,2024-01-05,2.89,2024-01-16,2.9,6588745,0.24,46122.58,11,下穿68
PANW,2024-01-16,166.02,2024-02-06,170.74,115087,2.84,543210.78,21,下穿68
WYNN,2024-02-06,97.81,2024-02-21,100.31,200911,2.56,503273.84,15,下穿68
LUV,2024-02-21,32.89,2024-03-01,32.34,612695,-1.68,-338430.88,9,下穿68
NRG,2024-03-01,54.92,2024-04-15,70.64,360829,28.64,5674506.22,45,下穿68
GE,2024-04-16,154.9,2024-04-19,146.3,164557,-5.55,-1414658.88,3,下穿68
SI=F,2024-04-19,28.81,2024-04-22,27.21,835714,-5.54,-1332964.85,3,下穿68
UAL,2024-04-22,53.94,2024-05-07,52.69,421622,-2.32,-527027.5,15,下穿68
TECH,2024-05-07,76.68,2024-05-23,79.68,289719,3.91,869245.42,16,下穿68
VST,2024-05-23,94.85,2024-06-03,92.01,243382,-3.0,-691595.79,11,下穿68
TPR,2024-06-03,42.51,2024-06-04,41.34,526760,-2.76,-616969.34,1,下穿68
RCL,2024-06-04,151.67,2024-06-14,145.16,143572,-4.29,-934696.75,10,下穿68
CRWD,2024-06-14,385.43,2024-06-28,383.19,54072,-0.58,-121391.38,14,下穿68
NCLH,2024-06-28,18.79,2024-07-01,17.68,1102706,-5.91,-1224004.33,3,下穿68
LITE,2024-07-01,51.43,2024-07-18,55.5,379075,7.91,1542835.13,17,下穿68
ALLE,2024-07-18,125.09,2024-08-01,129.88,168191,3.83,805812.12,14,下穿68
HAS,2024-08-01,60.73,2024-08-05,58.71,359692,-3.32,-725800.01,4,下穿68
EIX,2024-08-06,75.21,2024-09-09,79.42,280790,5.59,1181174.48,34,下穿68
PODD,2024-09-09,219.13,2024-09-27,232.03,101765,5.89,1312767.88,18,下穿68
NG=F,2024-09-27,2.9,2024-10-08,2.73,8136681,-5.82,-1375098.36,11,下穿68
CIEN,2024-10-08,65.25,2024-10-15,65.87,340805,0.95,211300.04,7,下穿68
CCL,2024-10-15,21.45,2024-11-01,21.8,1046525,1.62,364599.45,17,下穿68
IP,2024-11-01,52.62,2024-11-27,55.54,433518,5.54,1263467.23,26,下穿68
